frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
222,1377.4440,2365.8716,1229.5715,2476.5695,1,0,744,722,0.9704,0.5995,174.9
223,1372.7575,2360.5161,1225.3192,2470.8890,1,0,751,726,0.9667,0.6001,221.2
224,1368.0033,2355.0592,1220.9938,2465.1111,1,0,761,726,0.9540,0.6038,225.8
225,1363.1394,2349.7733,1216.7110,2459.3901,1,0,780,758,0.9718,0.5980,183.2
226,1358.3013,2344.5249,1212.4555,2453.7055,1,0,773,752,0.9728,0.5991,178.1
227,1353.4797,2339.2766,1208.2060,2448.0289,1,0,798,781,0.9787,0.5990,203.4
228,1348.5535,2333.8991,1203.8570,2442.2194,1,0,777,761,0.9794,0.5976,177.9
229,1343.4832,2328.5078,1199.4496,2436.3319,1,0,797,767,0.9624,0.5993,170.2
230,1338.5308,2323.3024,1195.1736,2430.6200,1,0,803,782,0.9738,0.5979,167.1
231,1333.9867,2318.1940,1191.0909,2425.1662,1,0,801,788,0.9838,0.6006,185.1
232,1329.0490,2312.9086,1186.7819,2419.4102,1,0,803,790,0.9838,0.5979,178.8
233,1324.0769,2307.7160,1182.5051,2413.6972,1,0,806,795,0.9864,0.5988,182.4
234,1318.9624,2302.3681,1178.1026,2407.8162,1,0,803,786,0.9788,0.5978,181.2
235,1314.1991,2297.2093,1173.9170,2402.2250,1,0,825,816,0.9891,0.5983,195.5
236,1309.1748,2291.9551,1173.0000,2401.0000,1,0,803,787,0.9801,0.5974,216.7
237,1304.2099,2286.7069,1170.8875,2398.4802,1,0,795,773,0.9723,0.5971,189.7
238,1299.2468,2281.4971,1166.2740,2392.9773,1,0,782,763,0.9757,0.5988,222.4
239,1294.2188,2276.2287,1161.6049,2387.4080,1,0,791,777,0.9823,0.5976,191.6
240,1289.2527,2270.8649,1156.9144,2381.8132,1,0,800,783,0.9788,0.5974,177.0
241,1284.2464,2265.5878,1152.2499,2376.2494,1,0,826,809,0.9794,0.5980,175.3
242,1279.2150,2260.3183,1147.5789,2370.6778,1,0,816,800,0.9804,0.5970,179.2
243,1274.1601,2254.9146,1142.8320,2365.0159,1,0,790,772,0.9772,0.5957,177.8
244,1269.1640,2249.5664,1138.1368,2359.4154,1,0,837,811,0.9689,0.5956,177.7
245,1264.1523,2244.1334,1133.3934,2353.7576,1,0,818,802,0.9804,0.5952,185.8
